0.5	17
0.5	17
0.539158	18
0.539158	17
0.539158	17
0.377645	15
0.377645	16
0.456568	17
0.521034	18
0.521034	16
0.521034	15
0.521034	23
0.542784	18
0.520658	18
0.520658	17
0.826155	22
0.826155	22
1.02525	24
1.13656	26
1.13656	26
0.975537	24
0.975537	22
1.03335	24
1.03335	26
1.03335	27
1.22966	27
1.22966	27
1.28972	27
1.28972	27
1.28972	30
1.28972	28
1.28972	28
1.13756	26
1.13756	26
0.618638	19
0.618638	19
0.664658	20
0.664658	17
0.537396	18
0.59795	19
0.808825	22
0.308744	14
0.407242	16
0.181445	11
0.181445	17
0.130698	10
0.130698	17
0.130698	11
0.130698	14
0.130698	13
0.130698	14
0.130698	2
0.1543	10
0.1543	16
0.1543	15
0.1543	12
0.1543	13
0.0105328	4
0.0105328	16
0.0105328	12
0.0105328	8
0.0105328	17
0.0105328	12
0.0105328	16
0.0105328	13
0.0105328	15
0.0105328	10
0.030995	5
0.030995	15
0.030995	9
0.030995	10
0.030995	10
0.030995	14
0.030995	7
0.030995	11
0.030995	16
0.030995	6
0.030995	7
0.030995	13
0.030995	13
0.030995	14
0.030995	11
0.030995	10
0.030995	6
0.030995	7
0.030995	12
0.030995	5
0.030995	17
0.030995	11
0.030995	14
0.030995	9
0.030995	13
0.030995	11
0.030995	15
0.030995	9
0.030995	9
0.030995	9
0.030995	7
0.030995	11
0.030995	6
0.030995	8
0.030995	8
0.030995	11
0.030995	6
0.030995	8
0.030995	7
0.030995	12
0.030995	9
0.030995	8
0.030995	2
0.030995	3
0.030995	16
0.0157069	4
0.0157069	8
0.0157069	13
0.0157069	10
0.0157069	9
0.0157069	3
0.0157069	8
0.0157069	14
0.0157069	13
0.0157069	11
0.0157069	10
0.0157069	7
0.0157069	12
0.0157069	4
0.0157069	6
0.0157069	9
0.0157069	8
0.0157069	11
0.0157069	6
0.0157069	8
0.0157069	11
0.0157069	7
0.0157069	13
0.0157069	7
0.0157069	14
0.0157069	6
0.0157069	6
0.0157069	8
0.0157069	3
0.0157069	5
0.0157069	9
0.0157069	8
0.0157069	5
0.0157069	10
0.0157069	15
0.0157069	7
0.0157069	6
0.0157069	10
0.0157069	10
0.0157069	12
0.0157069	10
0.0157069	8
0.0157069	14
0.0157069	8
0.0157069	7
0.0157069	7
0.0157069	12
0.0157069	9
0.0157069	14
0.0157069	9
0.0198371	5
0.0198371	7
0.0198371	12
0.0198371	9
0.0198371	9
0.0198371	8
0.0198371	14
0.0198371	6
0.0198371	5
0.0198371	10
0.0198371	11
0.0198371	8
0.0198371	6
0.0198371	11
0.0198371	3
0.0198371	6
0.0198371	4
0.0198371	12
0.0198371	11
0.0198371	6
0.0198371	7
0.0198371	7
0.0198371	4
0.0198371	6
0.0198371	7
0.0198371	8
0.0198371	10
0.0198371	3
0.0198371	7
0.0198371	8
0.0198371	3
0.0198371	11
0.0198371	6
0.0198371	6
0.0198371	6
0.0198371	10
0.0198371	10
0.0198371	7
0.0198371	8
0.0198371	7
0.0198371	14
0.0198371	5
0.0198371	10
0.0198371	9
0.0198371	6
0.0198371	6
0.0198371	5
0.0198371	11
0.0198371	12
0.0198371	9
0.0198371	5
0.0198371	10
